X,Y,OBJECTID,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,ADDRESS_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM
-77.0505538617023,38.905012418955,292,Ward 2,"2300 M St NW, Washington, District of Columbia 20037",West End Parcels (Square 50 - West End Affordable),Completed 2015 to Date,DMPED DCHA DCHFA DHCD OP,55,38.90500497,-77.05055156,3,0,52,0,0,11-12,243314,395615.27,137462.07,2300 M STREET NW,2020/08/31 04:00:41+00
-77.0229980563921,38.929740046578,295,Ward 1,"660 Kenyon St NW, Washington, District of Columbia 20010",Kenyon House Family Tenants Association,Completed 2015 to Date,DHCD,8,38.92973259,-77.02299576,2,0,0,6,0,,298206,398006.09,140206.08,660 KENYON STREET NW,2020/08/31 04:00:41+00
-76.9862446151135,38.9013801995259,402,Ward 5,"1111 Orren St NE, Washington, District of Columbia 20002",The Corey,Completed 2015 to Date,DHCD,6,38.90139421,-76.98626297,0,3,0,3,0,,313404,401193.37,137057.74,1111 ORREN STREET NE,2020/08/31 04:00:41+00
-76.981976284766,38.8792134290622,403,Ward 6,"1600 Pennsylvania Avenue SE, Washington, District of Columbia",1600 Pennsylvania Avenue SE,Completed 2015 to Date,DHCD,8,38.87913804,-76.98187941,0,4,0,4,0,,311021,401564.1,134597.12,1600 PENNSYLVANIA AVENUE SE,2020/08/31 04:00:41+00
-77.0251308301153,38.9070930251143,404,Ward 2,"926 N Street, NW, Washington, District of Columbia",Bailey Flats on Blagden,Completed 2015 to Date,DHCD,2,38.90695503,-77.02518337,0,1,0,1,0,,239789,397820.47,137692.12,926 N STREET NW,2020/08/31 04:00:41+00
-76.9830843101129,38.8907664873657,405,Ward 6,"1511 A Street Northeast, Washington, District of Columbia 20002",1511 A Street NE,Completed 2015 to Date,DHCD,2,38.890749,-76.98307,0,1,0,1,0,,62153,401467.72,135879.58,1511 A STREET NE,2020/08/31 04:00:41+00
-77.0327040933726,38.9213907154002,407,Ward 1,"1412 Chapin St NW, Washington, District of Columbia",Chapin Row,Completed 2015 to Date,DHCD OP,4,38.921315,-77.032704,0,2,0,2,0,09-15,234165,397164.17,139279.49,1412 CHAPIN STREET NW,2020/08/31 04:00:41+00
-77.0431507293583,38.9234790576258,409,Ward 1,"1827 Adams Mill Road NW, Washington, District of Columbia",The Adamo,Completed 2015 to Date,DHCD,3,38.9234716,-77.04314843,0,2,0,1,0,,300759,396258.37,139511.69,1827 ADAMS MILL ROAD NW,2020/08/31 04:00:41+00
-77.0808459953333,38.949979952185,410,Ward 3,"4600 Wisconsin Avenue, NW, Washington, District of Columbia",Tenley View,Completed 2015 to Date,DHCD OP,6,38.94994728,-77.08082739,0,0,0,6,0,10-23,264444,392992.22,142455.74,4600 WISCONSIN AVENUE NW,2020/08/31 04:00:41+00
-77.0291395215146,38.9077906914608,411,Ward 2,"1311 13th Street NW, Washington, District of Columbia",Logan 13,Completed 2015 to Date,DHCD,5,38.90778324,-77.02913723,0,3,0,2,0,,243348,397472.8,137769.67,1311 13TH STREET NW,2020/08/31 04:00:41+00
